content,score,reviewCreatedVersion,at
"aku sudah 3th pakai gojek karena drivernya ramah dan sopan, mengendarainya bikin nyaman, antar ataupun jemput sesuai titik pilihan aku jadi gk enak dan gampang buat jalannya",5,5.19.2,2025-05-27 11:06:17
daftar meñjadi driver gojek-Go Partner seperti daftar calon tentara atau polisi di terima nggak di proses iya?,2,4.36.1,2025-05-27 11:02:15
"baguss, murah² juga harganya",5,5.19.2,2025-05-27 10:58:23
menyenangkan,5,5.19.2,2025-05-27 10:57:03
mantap sesuai dgn tujuan,5,5.19.2,2025-05-27 10:47:32
"Serius admin, jangan pernah mau merger ama grab. Percaya ama gua",2,5.19.2,2025-05-27 10:44:01
my favorite app,5,5.18.2,2025-05-27 10:29:57
"knpa setiap mau pesan slalu muncul kya gni ""beberapa layanan ditutup sementara"" udh hampir 1 Minggu padahal GoRide maupun GoCar sma ajh",3,5.19.2,2025-05-27 10:28:15
pertama pake go send sudah kecewa..SG udh byr di depan. barang Sampe di byr lagi .driver tidak jujur,1,5.19.2,2025-05-27 10:17:36
mantap 👍👍👍,5,5.19.2,2025-05-27 10:15:54
nggak guna gofood nya udah tiga kali saya pesan di telat Mulu lain kali di perbaiki dong udah 3 jam saya nungguin sampai ganti 3 Resto ini yang di bilang cepat ini baik nggak usah ada gofood,1,5.19.2,2025-05-27 10:14:15
promo nya di tambahi 5 star,4,5.12.1,2025-05-27 09:22:45
"gopay ku baru topup 45.000 dan saldo awalku 29.000,tapi saldo baru ku yg nilainya 45.000 hilang yah? tolong lah itu saldo dari hasil jual kuota dan data, baru juga balik modal aku",2,5.19.2,2025-05-27 09:18:35
Oke jangan mengecewakan lagi,5,5.19.2,2025-05-27 09:17:40
memuaskan is the best 👍🏻♥️,5,5.19.2,2025-05-27 09:13:34
knapa saldo saya blom masuk padahal transakti top up berhasil,1,5.19.2,2025-05-27 09:10:11
sekrng jlk ngk kayakdulu pesn driver tapi saya ngk naik tetap kepotong,1,5.19.2,2025-05-27 08:53:34
"sistem ancur. pesen yg bukan ekonomi, drivernya malah dpt double order. live location ga kebaca, alamat salah terus. isi gopay jg ga masuk.",1,5.5.1,2025-05-27 08:47:31
service ok lah,5,5.19.2,2025-05-27 08:38:10
"saya sudah lama menggunakan gojek, awalnya lancar aja. Pesanan selalu datang tepat waktu. Tapi hari ini hampir satu jam makanannya baru sampai, padahal biasanya 5 menit sudah sampai. Alasannya rantai motor putus. Pertanyaan saya, apakah tidak ada aturan khusus dari perusahaan, agar yang bekerja pakai apk gojek tidak ambil orderan, jika memang ada kendala ?! Ini demi kenyamanan semua pihak pengguna. Thanks 🙏",4,5.19.2,2025-05-27 08:30:58
